work_order_id,asset_id,work_type,status,priority,estimated_hours,created_date
WO-0001,MOTOR-M05,Inspection,Open,Medium,6,2024-01-01
WO-0002,PUMP-P101,Preventive,In Progress,High,7,2024-01-03
WO-0003,HEAT-EXCH-01,Corrective,Scheduled,Medium,14,2024-01-05
WO-0004,HEAT-EXCH-01,Preventive,Completed,High,13,2024-01-07
WO-0005,PUMP-P101,Preventive,Completed,Medium,8,2024-01-09
WO-0006,MOTOR-M05,Corrective,In Progress,Low,10,2024-01-11
WO-0007,PUMP-P102,Preventive,Scheduled,High,9,2024-01-13
WO-0008,HEAT-EXCH-01,Corrective,Completed,High,18,2024-01-15
WO-0009,PUMP-P101,Preventive,Scheduled,Low,2,2024-01-17
WO-0010,VALVE-V203,Inspection,In Progress,High,5,2024-01-19
WO-0011,PUMP-P101,Inspection,Completed,High,5,2024-01-21
WO-0012,VALVE-V203,Preventive,Scheduled,Medium,6,2024-01-23
WO-0013,MOTOR-M05,Preventive,Completed,High,19,2024-01-25
WO-0014,PUMP-P102,Preventive,In Progress,Critical,8,2024-01-27
WO-0015,PUMP-P101,Inspection,Scheduled,Low,16,2024-01-29
WO-0016,HEAT-EXCH-01,Preventive,Completed,Medium,13,2024-01-31
WO-0017,MOTOR-M05,Inspection,In Progress,Medium,1,2024-02-02
WO-0018,PUMP-P101,Corrective,Completed,Critical,22,2024-02-04
WO-0019,HEAT-EXCH-01,Inspection,Completed,Low,20,2024-02-06
WO-0020,PUMP-P101,Inspection,Open,Low,17,2024-02-08
